Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,DateBirth,RemoteWork
no,,684.0,,6,3,,1620.0,1,female,51.0,3,5,research_director,3,,19537.0,6462,7,no,13,3.0,3,0,,5,3.0,20,15,15,1972,yes
no,,699.0,,1,4,life_sciences,2590.0,3,female,65.0,2,5,manager,3,,19999.0,5678,0,,14,3.0,1,1,34.0,5,3.0,33,11,9,1971,yes
no,travel_rarely,532.0,research_and_development,4,2,technical_degree,3190.0,3,female,58.0,3,5,manager,4,married,19232.0,4933,1,no,11,3.0,4,0,22.0,3,,22,11,15,1981,yes
no,,117.0,research_and_development,22,3,medical,19000.0,4,male,58.0,3,4,manager,4,,17174.0,2437,3,no,11,3.0,2,1,,3,3.0,22,4,7,1975,yes
no,,1435.0,,25,3,life_sciences,810.0,1,male,99.0,3,3,sales_executive,1,,,2354,7,,11,3.0,4,0,28.0,3,2.0,21,7,9,1964,yes
no,travel_rarely,635.0,,1,1,,3870.0,2,female,99.0,3,2,sales_executive,3,married,,24532,1,no,25,4.0,3,0,20.0,3,3.0,20,11,6,1981,no
no,travel_frequently,840.0,,9,3,,9990.0,1,female,64.0,3,5,research_director,3,,,3735,2,no,17,3.0,2,1,21.0,2,4.0,18,0,11,1982,no
no,non_travel,247.0,,7,1,,10350.0,2,male,55.0,1,5,research_director,3,,19973.0,20284,1,no,22,4.0,2,2,,3,3.0,21,5,10,1982,no
yes,travel_rarely,1360.0,,12,3,,580.0,2,male,49.0,3,5,research_director,3,married,19545.0,16280,1,no,12,3.0,4,0,,0,3.0,22,15,8,1982,no
no,travel_rarely,1398.0,,2,4,,5580.0,3,male,79.0,3,5,manager,3,,18041.0,13022,0,no,14,3.0,4,0,,2,3.0,20,1,12,1983,no
yes,travel_rarely,286.0,,2,4,,8250.0,4,female,31.0,3,5,research_director,2,single,19246.0,25761,7,yes,12,3.0,4,0,40.0,2,3.0,31,13,8,1965,no
no,non_travel,1238.0,research_and_development,1,1,,17120.0,3,female,74.0,2,3,healthcare_representative,3,,10748.0,3395,3,,23,4.0,4,1,25.0,3,2.0,23,14,4,1978,no
no,,515.0,,1,2,life_sciences,730.0,1,male,98.0,3,3,research_director,4,single,,15146,1,yes,12,3.0,3,0,15.0,1,3.0,15,8,12,1990,yes
no,,202.0,,2,2,other,8200.0,3,male,33.0,3,4,manager,4,married,16752.0,12982,1,,11,3.0,3,1,,3,2.0,26,3,0,1976,no
no,,429.0,,2,4,life_sciences,12940.0,3,male,53.0,3,2,manufacturing_director,2,single,,2323,9,yes,11,3.0,4,0,18.0,2,3.0,16,5,12,1987,no
no,non_travel,,sales,10,3,life_sciences,17740.0,4,female,87.0,3,2,sales_executive,3,,4001.0,12313,1,yes,14,3.0,3,1,15.0,3,3.0,15,0,7,1989,yes
no,,,sales,37,1,,18150.0,37,male,81.0,3,3,sales_executive,3,divorced,10447.0,26458,0,,13,3.0,4,1,,3,4.0,22,13,5,1982,yes
no,,1180.0,research_and_development,25,3,medical,19930.0,1,female,84.0,3,3,healthcare_representative,3,,,13084,2,,23,4.0,2,0,25.0,3,3.0,17,12,11,1976,yes
no,travel_rarely,1282.0,,5,3,,320.0,3,male,58.0,3,5,manager,3,,,10735,4,,11,3.0,4,1,26.0,3,2.0,14,4,8,1970,yes
